ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202212150_1	WMB 00001 - CS202212150_1	0001 Car3 Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5202		CS202212150_1		0001 Car3 Glut_1		WMB 00001			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110001			
PCL_INDV:CS202212150_2	WMB 00002 - CS202212150_2	0002 Car3 Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5202		CS202212150_2		0002 Car3 Glut_1		WMB 00002			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110002			
PCL_INDV:CS202212150_3	WMB 00003 - CS202212150_3	0003 Car3 Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5202		CS202212150_3		0003 Car3 Glut_1		WMB 00003			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110003			
PCL_INDV:CS202212150_4	WMB 00004 - CS202212150_4	0004 Car3 Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5202		CS202212150_4		0004 Car3 Glut_1		WMB 00004			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110004			
PCL_INDV:CS202212150_5	WMB 00005 - CS202212150_5	0005 Car3 Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_6123		CS202212150_5		0005 Car3 Glut_2		WMB 00005			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110005			
PCL_INDV:CS202212150_6	WMB 00006 - CS202212150_6	0006 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_6		0006 IT EP-CLA Glut_1		WMB 00006			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110006			
PCL_INDV:CS202212150_7	WMB 00007 - CS202212150_7	0007 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_7		0007 IT EP-CLA Glut_1		WMB 00007			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110007			
PCL_INDV:CS202212150_8	WMB 00008 - CS202212150_8	0008 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_8		0008 IT EP-CLA Glut_1		WMB 00008			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110008			
PCL_INDV:CS202212150_9	WMB 00009 - CS202212150_9	0009 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_9		0009 IT EP-CLA Glut_1		WMB 00009			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110009			
PCL_INDV:CS202212150_10	WMB 00010 - CS202212150_10	0010 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_10		0010 IT EP-CLA Glut_1		WMB 00010			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110010			
PCL_INDV:CS202212150_11	WMB 00011 - CS202212150_11	0011 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_11		0011 IT EP-CLA Glut_1		WMB 00011			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110011			
PCL_INDV:CS202212150_12	WMB 00012 - CS202212150_12	0012 IT EP-CLA Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5203		CS202212150_12		0012 IT EP-CLA Glut_1		WMB 00012			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110012			
PCL_INDV:CS202212150_13	WMB 00013 - CS202212150_13	0013 IT EP-CLA Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5204		CS202212150_13		0013 IT EP-CLA Glut_2		WMB 00013			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110013			
PCL_INDV:CS202212150_14	WMB 00014 - CS202212150_14	0014 IT EP-CLA Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5204		CS202212150_14		0014 IT EP-CLA Glut_2		WMB 00014			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110014			
PCL_INDV:CS202212150_15	WMB 00015 - CS202212150_15	0015 IT EP-CLA Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5204		CS202212150_15		0015 IT EP-CLA Glut_2		WMB 00015			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110015			
PCL_INDV:CS202212150_16	WMB 00016 - CS202212150_16	0016 IT EP-CLA Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5204		CS202212150_16		0016 IT EP-CLA Glut_2		WMB 00016			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110016			
PCL_INDV:CS202212150_17	WMB 00017 - CS202212150_17	0017 IT EP-CLA Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5204		CS202212150_17		0017 IT EP-CLA Glut_2		WMB 00017			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110017			
PCL_INDV:CS202212150_18	WMB 00018 - CS202212150_18	0018 IT EP-CLA Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5205		CS202212150_18		0018 IT EP-CLA Glut_3		WMB 00018			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110018			
PCL_INDV:CS202212150_19	WMB 00019 - CS202212150_19	0019 IT EP-CLA Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5205		CS202212150_19		0019 IT EP-CLA Glut_3		WMB 00019			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110019			
PCL_INDV:CS202212150_20	WMB 00020 - CS202212150_20	0020 IT EP-CLA Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5205		CS202212150_20		0020 IT EP-CLA Glut_3		WMB 00020			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110020			
PCL_INDV:CS202212150_21	WMB 00021 - CS202212150_21	0021 IT EP-CLA Glut_4	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5206		CS202212150_21		0021 IT EP-CLA Glut_4		WMB 00021			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110021			
PCL_INDV:CS202212150_22	WMB 00022 - CS202212150_22	0022 IT EP-CLA Glut_4	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5206		CS202212150_22		0022 IT EP-CLA Glut_4		WMB 00022			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110022			
PCL_INDV:CS202212150_23	WMB 00023 - CS202212150_23	0023 L5/6 IT TPE-ENT Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5207		CS202212150_23		0023 L5/6 IT TPE-ENT Glut_1		WMB 00023			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110023			
PCL_INDV:CS202212150_24	WMB 00024 - CS202212150_24	0024 L5/6 IT TPE-ENT Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5207		CS202212150_24		0024 L5/6 IT TPE-ENT Glut_1		WMB 00024			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110024			
PCL_INDV:CS202212150_25	WMB 00025 - CS202212150_25	0025 L5/6 IT TPE-ENT Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5207		CS202212150_25		0025 L5/6 IT TPE-ENT Glut_1		WMB 00025			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110025			
PCL_INDV:CS202212150_26	WMB 00026 - CS202212150_26	0026 L5/6 IT TPE-ENT Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5208		CS202212150_26		0026 L5/6 IT TPE-ENT Glut_2		WMB 00026			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110026			
PCL_INDV:CS202212150_27	WMB 00027 - CS202212150_27	0027 L5/6 IT TPE-ENT Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5208		CS202212150_27		0027 L5/6 IT TPE-ENT Glut_2		WMB 00027			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110027			
PCL_INDV:CS202212150_28	WMB 00028 - CS202212150_28	0028 L5/6 IT TPE-ENT Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5208		CS202212150_28		0028 L5/6 IT TPE-ENT Glut_2		WMB 00028			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110028			
PCL_INDV:CS202212150_29	WMB 00029 - CS202212150_29	0029 L5/6 IT TPE-ENT Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_6125		CS202212150_29		0029 L5/6 IT TPE-ENT Glut_3		WMB 00029			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110029			
PCL_INDV:CS202212150_30	WMB 00030 - CS202212150_30	0030 L5/6 IT TPE-ENT Glut_4	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_6125		CS202212150_30		0030 L5/6 IT TPE-ENT Glut_4		WMB 00030			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110030			
PCL_INDV:CS202212150_31	WMB 00031 - CS202212150_31	0031 L5/6 IT TPE-ENT Glut_5	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_6125		CS202212150_31		0031 L5/6 IT TPE-ENT Glut_5		WMB 00031			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110031			
PCL_INDV:CS202212150_32	WMB 00032 - CS202212150_32	0032 L5/6 IT TPE-ENT Glut_6	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_6125		CS202212150_32		0032 L5/6 IT TPE-ENT Glut_6		WMB 00032			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110032			
PCL_INDV:CS202212150_33	WMB 00033 - CS202212150_33	0033 L6 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5209		CS202212150_33		0033 L6 IT CTX Glut_1		WMB 00033			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110033			
PCL_INDV:CS202212150_34	WMB 00034 - CS202212150_34	0034 L6 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5209		CS202212150_34		0034 L6 IT CTX Glut_1		WMB 00034			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110034			
PCL_INDV:CS202212150_35	WMB 00035 - CS202212150_35	0035 L6 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5209		CS202212150_35		0035 L6 IT CTX Glut_1		WMB 00035			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110035			
PCL_INDV:CS202212150_36	WMB 00036 - CS202212150_36	0036 L6 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5209		CS202212150_36		0036 L6 IT CTX Glut_1		WMB 00036			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110036			
PCL_INDV:CS202212150_37	WMB 00037 - CS202212150_37	0037 L6 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5209		CS202212150_37		0037 L6 IT CTX Glut_1		WMB 00037			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110037			
PCL_INDV:CS202212150_38	WMB 00038 - CS202212150_38	0038 L6 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5210		CS202212150_38		0038 L6 IT CTX Glut_2		WMB 00038			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110038			
PCL_INDV:CS202212150_39	WMB 00039 - CS202212150_39	0039 L6 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5210		CS202212150_39		0039 L6 IT CTX Glut_2		WMB 00039			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110039			
PCL_INDV:CS202212150_40	WMB 00040 - CS202212150_40	0040 L6 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5210		CS202212150_40		0040 L6 IT CTX Glut_2		WMB 00040			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110040			
PCL_INDV:CS202212150_41	WMB 00041 - CS202212150_41	0041 L6 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5210		CS202212150_41		0041 L6 IT CTX Glut_2		WMB 00041			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110041			
PCL_INDV:CS202212150_42	WMB 00042 - CS202212150_42	0042 L6 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5210		CS202212150_42		0042 L6 IT CTX Glut_2		WMB 00042			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110042			
PCL_INDV:CS202212150_43	WMB 00043 - CS202212150_43	0043 L6 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5210		CS202212150_43		0043 L6 IT CTX Glut_2		WMB 00043			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110043			
PCL_INDV:CS202212150_44	WMB 00044 - CS202212150_44	0044 L6 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5211		CS202212150_44		0044 L6 IT CTX Glut_3		WMB 00044			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110044			
PCL_INDV:CS202212150_45	WMB 00045 - CS202212150_45	0045 L6 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5211		CS202212150_45		0045 L6 IT CTX Glut_3		WMB 00045			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110045			
PCL_INDV:CS202212150_46	WMB 00046 - CS202212150_46	0046 L6 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5211		CS202212150_46		0046 L6 IT CTX Glut_3		WMB 00046			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110046			
PCL_INDV:CS202212150_47	WMB 00047 - CS202212150_47	0047 L6 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5211		CS202212150_47		0047 L6 IT CTX Glut_3		WMB 00047			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110047			
PCL_INDV:CS202212150_48	WMB 00048 - CS202212150_48	0048 L6 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5211		CS202212150_48		0048 L6 IT CTX Glut_3		WMB 00048			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110048			
