defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110001	0001 Car3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110002	0002 Car3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110003	0003 Car3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110004	0004 Car3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110005	0005 Car3 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110006	0006 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110007	0007 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110008	0008 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110009	0009 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110010	0010 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110011	0011 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110012	0012 IT EP-CLA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110013	0013 IT EP-CLA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110014	0014 IT EP-CLA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110015	0015 IT EP-CLA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110016	0016 IT EP-CLA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110017	0017 IT EP-CLA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110018	0018 IT EP-CLA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110019	0019 IT EP-CLA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110020	0020 IT EP-CLA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110021	0021 IT EP-CLA Glut_4											
http://purl.obolibrary.org/obo/PCL_0110022	0022 IT EP-CLA Glut_4											
http://purl.obolibrary.org/obo/PCL_0110023	0023 L5/6 IT TPE-ENT Glut_1											
http://purl.obolibrary.org/obo/PCL_0110024	0024 L5/6 IT TPE-ENT Glut_1											
http://purl.obolibrary.org/obo/PCL_0110025	0025 L5/6 IT TPE-ENT Glut_1											
http://purl.obolibrary.org/obo/PCL_0110026	0026 L5/6 IT TPE-ENT Glut_2											
http://purl.obolibrary.org/obo/PCL_0110027	0027 L5/6 IT TPE-ENT Glut_2											
http://purl.obolibrary.org/obo/PCL_0110028	0028 L5/6 IT TPE-ENT Glut_2											
http://purl.obolibrary.org/obo/PCL_0110029	0029 L5/6 IT TPE-ENT Glut_3											
http://purl.obolibrary.org/obo/PCL_0110030	0030 L5/6 IT TPE-ENT Glut_4											
http://purl.obolibrary.org/obo/PCL_0110031	0031 L5/6 IT TPE-ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110032	0032 L5/6 IT TPE-ENT Glut_6											
http://purl.obolibrary.org/obo/PCL_0110033	0033 L6 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110034	0034 L6 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110035	0035 L6 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110036	0036 L6 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110037	0037 L6 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110038	0038 L6 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110039	0039 L6 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110040	0040 L6 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110041	0041 L6 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110042	0042 L6 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110043	0043 L6 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110044	0044 L6 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110045	0045 L6 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110046	0046 L6 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110047	0047 L6 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110048	0048 L6 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110049	0049 L6 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110050	0050 L6 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110051	0051 L6 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110052	0052 L6 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110053	0053 L6 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110054	0054 L6 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110055	0055 L5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110056	0056 L5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110057	0057 L5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110058	0058 L5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110059	0059 L5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110060	0060 L5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110061	0061 L5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110062	0062 L5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110063	0063 L5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110064	0064 L5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110065	0065 L5 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110066	0066 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110067	0067 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110068	0068 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110069	0069 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110070	0070 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110071	0071 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110072	0072 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110073	0073 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110074	0074 L4/5 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110075	0075 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110076	0076 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110077	0077 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110078	0078 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110079	0079 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110080	0080 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110081	0081 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110082	0082 L4/5 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110083	0083 L4/5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110084	0084 L4/5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110085	0085 L4/5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110086	0086 L4/5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110087	0087 L4/5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110088	0088 L4/5 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110089	0089 L4/5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110090	0090 L4/5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110091	0091 L4/5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110092	0092 L4/5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110093	0093 L4/5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110094	0094 L4/5 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110095	0095 L4/5 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110096	0096 L4/5 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110097	0097 L4/5 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110098	0098 L4/5 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110099	0099 L4/5 IT CTX Glut_5											
http://purl.obolibrary.org/obo/PCL_0110100	0100 L4/5 IT CTX Glut_6											
http://purl.obolibrary.org/obo/PCL_0110101	0101 L4/5 IT CTX Glut_6											
http://purl.obolibrary.org/obo/PCL_0110102	0102 L4/5 IT CTX Glut_6											
http://purl.obolibrary.org/obo/PCL_0110103	0103 L4/5 IT CTX Glut_6											
http://purl.obolibrary.org/obo/PCL_0110104	0104 L2/3 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110105	0105 L2/3 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110106	0106 L2/3 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110107	0107 L2/3 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110108	0108 L2/3 IT CTX Glut_1											
http://purl.obolibrary.org/obo/PCL_0110109	0109 L2/3 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110110	0110 L2/3 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110111	0111 L2/3 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110112	0112 L2/3 IT CTX Glut_2											
http://purl.obolibrary.org/obo/PCL_0110113	0113 L2/3 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110114	0114 L2/3 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110115	0115 L2/3 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110116	0116 L2/3 IT CTX Glut_3											
http://purl.obolibrary.org/obo/PCL_0110117	0117 L2/3 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110118	0118 L2/3 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110119	0119 L2/3 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110120	0120 L2/3 IT CTX Glut_4											
http://purl.obolibrary.org/obo/PCL_0110121	0121 L2/3 IT ENT Glut_1											
http://purl.obolibrary.org/obo/PCL_0110122	0122 L2/3 IT ENT Glut_1											
http://purl.obolibrary.org/obo/PCL_0110123	0123 L2/3 IT ENT Glut_1											
http://purl.obolibrary.org/obo/PCL_0110124	0124 L2/3 IT ENT Glut_2											
http://purl.obolibrary.org/obo/PCL_0110125	0125 L2/3 IT ENT Glut_2											
http://purl.obolibrary.org/obo/PCL_0110126	0126 L2/3 IT ENT Glut_2											
http://purl.obolibrary.org/obo/PCL_0110127	0127 L2/3 IT ENT Glut_3											
http://purl.obolibrary.org/obo/PCL_0110128	0128 L2/3 IT ENT Glut_3											
http://purl.obolibrary.org/obo/PCL_0110129	0129 L2/3 IT ENT Glut_3											
http://purl.obolibrary.org/obo/PCL_0110130	0130 L2/3 IT ENT Glut_4											
http://purl.obolibrary.org/obo/PCL_0110131	0131 L2/3 IT ENT Glut_4											
http://purl.obolibrary.org/obo/PCL_0110132	0132 L2/3 IT ENT Glut_4											
http://purl.obolibrary.org/obo/PCL_0110133	0133 L2/3 IT ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110134	0134 L2/3 IT ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110135	0135 L2/3 IT ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110136	0136 L2/3 IT ENT Glut_6											
http://purl.obolibrary.org/obo/PCL_0110137	0137 L2/3 IT ENT Glut_6											
http://purl.obolibrary.org/obo/PCL_0110138	0138 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110139	0139 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110140	0140 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110141	0141 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110142	0142 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110143	0143 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110144	0144 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110145	0145 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110146	0146 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110147	0147 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110148	0148 L2/3 IT ENTl-PIR Glut_2											
